"district_code","tylephu_goithoai","delta_tylephu_goithoai","rate_tylephu_goithoai","log_delta_tylephu_goithoai","log_rate_tylephu_goithoai","tylephu_goidata","delta_tylephu_goidata","rate_tylephu_goidata","log_delta_tylephu_goidata","log_rate_tylephu_goidata","dt_goi_tt","delta_dt_goi_tt","rate_dt_goi_tt","log_delta_dt_goi_tt","log_rate_dt_goi_tt","partition"
P210010,0.14598,0.003489999999999993,0.023907384573229162,-5.657853542767803,-3.7335678898091524,0.423,-0.003410000000000024,-0.008061465721040247,,,7.86441500023999E8,-1.297166630933404E7,-0.0164941274194434,,,"20201101"
P210010,0.20326,0.05728,0.2818065531831152,-2.8598037563297467,-1.2665344250572304,0.47706,0.05406,0.11331907936108665,-2.9176607381338355,-2.1775477282931455,8.67308388698799E8,8.086688867480004E7,0.09323890986010477,18.20831501116261,-2.372590156644998,"20201201"
P210010,0.14805,-0.05521000000000001,-0.3729145558932794,,,0.4512,-0.025859999999999994,-0.05731382978723403,,,974892333.52,1.0758394482120097E8,0.1103546936642249,18.49378198285991,-2.20405561284571,"20210101"
P210010,0.12653,-0.021519999999999984,-0.1700782423140756,,,0.4783,0.027100000000000013,0.056659000627221436,-3.6082215510964812,-2.8707044228005953,965029333.64,-9862999.879999995,-0.010220414588640208,,,"20210201"
P210010,0.13314,0.006610000000000005,0.04964698813279258,-5.019171625118541,-3.002817552308962,0.484,0.005699999999999983,0.011776859504132197,-5.167289104141636,-4.44161873187613,1207686000.12,2.426566664799999E8,0.2009269515883174,19.30715810708327,-1.6048138619116514,"20210301"
P210011,0.17526,0,0,,,0.41283,0,0,,,7.95394999999999E8,0,0,,,"20200301"
P210011,0.16686,-0.00839999999999999,-0.050341603739661935,,,0.59832,0.18549,0.31001805054151627,-1.68475430674355,-1.171124755644825,8.17322690833333E8,2.192769083333397E7,0.02682868232983565,16.903260817692342,-3.618283727571887,"20200401"
P210011,0.17128,0.0044199999999999795,0.025805698271835473,-5.421615582892535,-3.657159948191825,0.61793,0.019610000000000016,0.031734986163481325,-3.9317156387738814,-3.4503355422256474,8.05093249666666E8,-1.2229441166666985E7,-0.015190092789537557,,,"20200501"
P210011,0.17667,0.005390000000000006,0.030508858323427895,-5.22320989406123,-3.489738200703682,0.52375,-0.09417999999999993,-0.17981861575178984,,,5.96939194166666E8,-208154055.5,-0.3487022757662704,,,"20200601"
P210011,0.17845,0.0017800000000000038,0.009974782852339612,-6.331141914678141,-4.607695085632174,0.55077,0.027019999999999933,0.0490585907002922,-3.611177946450087,-3.0147399666081736,6.98918082166666E8,101978888,0.14590964320720182,18.44027636943299,-1.9247677310028575,"20200701"
P210011,0.18638,0.007929999999999993,0.04254748363558318,-4.837102243335381,-3.157134564710754,0.57474,0.023970000000000047,0.041705814803215446,-3.7309522305358422,-3.1771147161765603,8.70556387666666E8,171638305.5,0.19715932009876871,18.9608999456315,-1.6237431456254003,"20200801"
P210011,0.18372,-0.0026599999999999957,-0.014478554321794011,,,0.62681,0.05206999999999995,0.08307142515275753,-2.9551663118073304,-2.488054497232124,829737444,-4.081894366666603E7,-0.04919501218347575,,,"20200901"
P210011,0.1754,-0.008319999999999994,-0.04743443557582665,,,0.4042,-0.22260999999999997,-0.5507422068283028,,,8.68900860499999E8,3.916341649999905E7,0.04507236473153325,17.483253616458352,-3.0994859756831947,"20201001"
